idx,rpm,fuel,hw_nozzle_holes,hw_nozzle_diameter_mm,hw_vp37_camplate,hw_vp37_cam_profile_file,hw_valvetrain_profile_file,soi_offset_deg,iq_cmd_mg_per_str,iq_eff_mg_per_str,n146_mv,maf_target_mg_per_str,smoke_iq_max_mg_per_str,boost_target_mbar_abs,p_intake_bar_used,soi_main_deg_model,duration_main_deg,out_peak_pressure_bar,out_peak_temp_k,out_imep_bar,out_indicated_torque_nm,out_brake_torque_nm_est,out_brake_power_kw_est,out_mass_start_kg_per_cyl,out_mass_end_kg_per_cyl,out_fuel_energy_in_j_per_cyl,out_q_comb_j_per_cyl,out_q_wall_j_per_cyl,out_q_exhaust_out_j_per_cyl_est,out_torque_ind_mean_nm_per_cyl,out_torque_ind_pp_nm_per_cyl,out_torque_ind_ripple_rms_nm_per_cyl,out_rod_force_max_comp_n_est,out_rod_force_max_tens_n_est,out_bsfc_g_per_kwh_est
10,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,1.518181246213067,8.360647538753131,8.360647538753131,,319.9630417474558,21.072234531269515,1002.2985945549555,1.6557013752954215,-4.481818753786933,8.417874903199156,84.71137644065769,1046.0736022290582,4.191957954913864,63.254955656599634,48.165358781599636,7.565796865289502,4.927590847972068e-05,3.791321846507567e-05,309.34395893386585,289.665045815439,1.217390968827194,424.7643748839841,15.792744441831731,1082.1305420729238,166.26317902675567,40904.90393428396,436.35231578041135,198.91051580830126
11,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,1.7225816493288058,10.239499137865815,10.239499137865815,,357.4079354979416,23.159421484668975,1005.1541506457902,1.641891328907624,-4.277418350671194,10.380291272575604,84.00478628794401,1096.4772865315126,4.979322515096644,75.13596946341947,60.04637258841946,9.432062149924706,4.8864902852703934e-05,3.613335989100168e-05,378.86146810103514,359.51231916540235,1.5225034829301465,457.2748248067647,18.759093298002412,1118.1984459203784,171.75497507281167,40570.48820294779,442.43770872444077,195.40900128934794
12,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,2.131361845722421,39.03519033563974,39.03519033563974,,773.0263911592824,37.035714285714285,1689.910757126037,1.7012296771332645,-3.868638154277579,47.537042214709565,125.17617285576226,1682.6152552924395,16.85434910396241,254.32533356931023,239.23573669431022,37.57906164374936,5.063089221535862e-05,2.6810325238348334e-05,1658.995589264689,1612.5463348990731,7.276669281531156,1281.1025725616603,63.497363666524514,1470.6361885008698,268.25538385854503,61001.4997787947,483.65135123933544,186.9747128607152
13,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-1.3557096683176904,2.304948629936149,2.304948629936149,,268.3552189152937,19.96428571428571,1002.0823195939264,1.5165767164599582,-7.35570966831769,2.275424377125006,87.88053498291664,908.6355861242029,1.514409968583071,22.851835929399957,7.7622390543999575,1.2192896594355345,4.513537078473601e-05,4.004289934317388e-05,97.96031677228632,122.8532002150687,0.3756301463812768,306.0113713693701,5.70526908348113,871.9898817258113,134.05924282409643,42478.301990023,428.1290332073935,340.2725104554555
14,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-1.3087330358127471,11.254381188007864,11.254381188007864,,370.2751900622426,23.889178636387193,1017.0065231599491,1.5114651040532703,-7.308733035812747,11.45316635407952,107.65624331800751,1264.8086160969722,6.020109875972502,90.84103117163133,75.75143429663132,11.899007474259342,4.4983242297743114e-05,3.14434562747978e-05,478.31120049033416,488.5404368326383,2.1755994808640127,470.25385573426223,22.680240640326407,1084.637474296674,171.23388799703878,52308.48304921199,457.5891555519389,170.24853696610617
15,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,2.782025237069825,8.472567708110631,8.472567708110631,,322.31213541199236,21.202609229651287,1002.3025917038611,1.3857699105594692,-3.217974762930175,8.533946997871027,70.90041705387554,1071.3893070432864,3.7633584482013145,56.787561879483405,41.69796500448341,6.549901026386468,4.124238362397642e-05,3.0167022439487928e-05,313.4850052000933,321.8198216199778,1.224489624846841,384.0293730045249,14.178062390071632,934.1193658964288,142.64679567701396,34049.26420606093,470.63905796651954,232.83744003400292
16,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,0.5370123725042886,3.0530991322146175,3.0530991322146175,,275.1016996148558,19.96428571428571,1002.1090392547221,1.5387679097223512,-5.462987627495711,3.0207943672155224,78.72849371571102,878.561265810318,1.6542137749848342,24.96141900959311,9.87182213459311,1.5506621947791415,4.579581065908133e-05,4.012815775983567e-05,112.96466789194083,110.09986978888904,0.35933405405732854,315.8682544448225,6.231964322044131,893.4899989675939,136.8699125061002,37935.05315493124,427.4305112033859,354.4020391087846
17,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,1.9609519773403266,40.07737146852771,40.07737146852771,,779.7310897808616,37.035714285714285,1722.767340435562,1.5282843044164187,-4.039048022659673,49.40653973606057,113.93402864669343,1794.7745510608854,16.50015641898734,248.9807087369626,233.8911118619626,36.739529938274515,4.548380441006769e-05,2.257670019384716e-05,1703.2882874124275,1652.6338568909666,7.5314703743900795,1315.0929683036493,62.16297396098295,1361.3249355601138,252.3688261816311,55424.720907806,495.30359727380267,196.3532706176423
18,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-1.729951544354937,37.74481789057183,37.74481789057183,,764.7249950960122,37.035714285714285,1646.0380939937281,1.0501743380566146,-7.729951544354937,45.3236376856866,53.70286473190622,2038.929353924384,11.067965771790616,167.01114172261865,151.9215448476187,23.86378046076456,3.1254606260501365e-05,8.675096209419531e-06,1396.5582619511576,1357.5256902038711,6.311064654176583,1221.4497386562825,41.69749923633061,917.0166708245847,169.70301373593338,25512.54929547157,619.5503840456479,284.70205009945255
19,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-2.0129564011553924,18.1313208493556,18.1313208493556,,481.8856739565317,28.16074627550642,1098.5271493897258,1.2533905332455715,-8.012956401155392,19.001307357614785,64.12733274466348,1325.4053451842221,6.971699430571738,105.2001339409946,90.11053706599459,14.154530062877967,3.730259461464607e-05,1.9408995280579887e-05,670.8588714261572,655.3575212071129,2.8792923193862032,588.2144416002911,26.265244646333112,953.8141619795233,156.33432917115618,30687.16425540304,528.6787204900862,230.57196094720993
20,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-0.6224630266980813,2.2504575896431804,2.2504575896431804,,267.84995723120574,19.96428571428571,1002.0803734853446,1.2099957702000812,-6.622463026698082,2.22126244361133,61.907097336432926,848.3368216873315,0.8925136037777783,13.467670486460154,0.0,0.0,3.6011107874202184e-05,3.1647706720100495e-05,83.26693081679767,74.53326499527873,0.2317595641272601,251.27547056841016,3.3623605656342908,689.2571349768773,106.31938835199433,29585.05877204029,547.5012948710533,
21,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-2.364472579756053,29.225877679571983,29.225877679571983,,670.4442908013411,36.76863440483308,1383.1741429240187,1.3043394159092259,-8.364472579756054,32.64106450121526,104.33553276653107,1805.3069864202619,13.190130948049324,199.0337587345259,183.94416185952588,28.893881378430915,3.881890215460346e-05,1.8062907665366053e-05,1242.0998013818094,1197.2901470098268,5.903163782907478,919.6568043719244,49.69281890556476,1234.7215019993982,215.65464152609042,50664.406817821364,515.2336246669113,182.06823491183852
22,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-0.41263950733556287,39.29478174261457,39.29478174261457,,774.6964292108205,37.035714285714285,1698.736864963181,1.5057080940001337,-6.412639507335562,47.99535355923738,77.03699806001816,1658.6792799405268,13.54067879733193,204.32338446559865,189.23378759059867,29.724773845279806,4.481190590536707e-05,2.2541542378924166e-05,1453.9069244767388,1430.2891003912841,6.141837731276841,1191.745875348578,51.013273917056594,1225.7236899830675,223.78640222897965,37095.40947106212,494.39577353769323,237.95170824466337
23,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-0.9492316563593217,25.377779455743593,25.377779455743593,,597.3147940138363,34.80317335511589,1224.0827677845996,1.1570375080918027,-6.949231656359322,27.64471356810475,59.19416009432618,1660.2226403582042,9.23091214038581,139.29074298696526,124.20114611196527,19.509470409639132,3.4434998488880826e-05,1.3102499533140173e-05,938.977839862513,932.5660321319501,4.27807035015148,768.8823778386592,34.776659444498954,977.7838266497995,167.7869267947688,28238.380397548575,570.880788634994,234.14271152008894
24,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-1.4587951966373836,5.1471731128115366,5.1471731128115366,,286.99984723188373,19.96428571428571,1002.1838276111719,1.2062424951973894,-7.458795196637384,5.126323775433974,79.98216431782804,1078.347259516216,2.6436086958049745,39.89098951494157,24.801392639941568,3.89579364582182,3.5899405342398186e-05,2.6861478013642255e-05,218.7548572944903,209.27145827533272,0.9930548129013028,306.3033744950752,9.959519086721023,772.7778127531715,120.27531329584244,38561.866439556645,549.2165894249806,237.81833550134888
25,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,1.187361424098488,7.532948129638286,7.532948129638286,,302.5904497539465,20.10805567562974,1002.2690338617729,1.3009908011424753,-4.812638575901512,7.562546477906935,89.47094222435392,1196.4450380105832,4.194334419678278,63.2908155518823,48.2012186768823,7.5714297244684285,3.871924285779893e-05,2.7058779521436486e-05,320.15029550962714,330.02497794328264,1.5583518080348608,376.2685076906365,15.801772407199236,893.9475737801338,140.30798789411244,43281.45826723579,505.20721603591085,179.08515467732062
26,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-0.26442622173750685,27.22028805349785,27.22028805349785,,632.5725121094339,36.095017206084634,1300.2573375260397,1.6717476828871538,-6.264426221737507,29.994577446603138,121.48552677335614,1547.3012036754067,13.105537182805362,197.75727291885607,182.6676760438561,28.693371455384927,4.97534682595974e-05,2.8895766978832737e-05,1156.8622422736585,1129.4186757637428,5.14379939060962,878.7218533563561,49.37407878815012,1439.3622431642993,241.4617915885282,59169.49526724938,472.4901018516322,170.75901510033555
27,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-0.8099564189486461,21.281041301812824,21.281041301812824,,525.9508743102994,30.419373999743918,1143.4622004681141,1.2941596557520052,-6.809956418948646,22.654579944927463,66.21324692655342,1475.8736739171543,8.455178633106474,127.58523707969022,112.49564020469022,17.670773841396766,3.851593874747142e-05,2.0089082703808144e-05,787.3985281670745,780.9099706791139,3.480598219041322,660.4242675583802,31.854161230402184,1060.325786459062,173.1079346016762,31722.593854067618,514.2974850618903,216.77530756194227
28,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-1.2971610663352136,15.507757510898994,15.507757510898994,,437.9440680595527,26.629303033940428,1066.87573168506,1.25043828705595,-7.297161066335214,16.059261760499297,94.10988001893327,1508.9955925500626,7.842834167204117,118.34520594058648,103.25560906558648,16.219353144119307,3.721473178187925e-05,2.015471099140493e-05,659.0796942132073,679.0770597015636,3.22855563807346,537.3576067084954,29.547280641038956,1045.2734542114026,168.39017720114182,45588.48202069703,529.2100013629293,172.1028161332009
29,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,2.830139853718528,35.31055780172048,35.31055780172048,,749.0645885244018,37.03257397576049,1563.273250972782,1.6329071585382442,-3.169860146281472,41.400595973113475,116.87940028907852,1672.646375618867,15.5895115948017,235.239445443696,220.149848568696,34.581057347616046,4.8597521811959916e-05,2.5884239708256247e-05,1500.6987065731203,1459.7216389832395,6.637919788147188,1154.4792053166507,58.73220971163512,1411.5819614603345,254.48770244032514,56886.77769042474,484.39444141130855,183.7971679240123
30,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,2.5061535430254764,31.65409668422448,31.65409668422448,,711.4638475585065,36.90634291680356,1460.6780452210605,1.4002851445894968,-3.4938464569745236,35.98895295858818,74.94742571668395,1602.7448558094695,11.554856664545902,174.35812901640477,159.26853214140476,25.017842526173354,4.167437658738006e-05,2.1021423937802693e-05,1171.201577316306,1145.3008652110052,5.057819720263983,944.5232513109447,43.5319101337516,1133.3799813172639,203.07462560725435,36114.02358722068,498.5701422767671,227.74695288770425
31,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-0.06930463748685689,11.151732799634377,11.151732799634377,,368.9737551382216,23.81536868426771,1015.8077366243015,1.1061570380374297,-6.069304637486857,11.344210705781848,56.575227268492796,1197.659187409256,4.571403668807469,68.98063851520072,53.89104164020072,8.46518502555781,3.292072700054731e-05,1.8219155672406538e-05,412.61411358647194,393.6235422569931,1.8654664911461478,410.56334220069226,17.222348200975574,816.8334943304317,127.72098300641703,26938.364995033226,593.3317317337853,237.12557940243212
32,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-1.2299613431668832,35.05718567609416,35.05718567609416,,747.4345611828725,37.02710174111393,1554.658598701487,1.4205036185298032,-7.229961343166883,41.0086390435463,112.79157005111408,1817.1486205059186,15.24638080701047,230.06174018052516,214.97214330552518,33.767745306754506,4.227610567110714e-05,2.0578889056439703e-05,1489.9303912340017,1456.6794819575596,6.883112475915685,1121.3932235936475,57.43954368010611,1314.2899373031473,238.33148503383686,54857.61442980132,500.7360598456486,186.87340135898003
33,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,2.7898064638784144,19.270357627206252,19.270357627206252,,495.5916659537456,28.6750424104863,1112.2688145167954,1.2361874045301566,-3.2101935361215856,20.306147634204137,63.247155373995454,1436.9349237457218,7.594803931221743,114.60252966680135,99.51293279180135,15.631454929794899,3.679060627617267e-05,1.8381496476073346e-05,713.0032322066313,720.1515470838983,3.133371402135795,600.4554609731811,28.612771930741502,1002.1629906725691,162.1353398890151,30250.25188883641,535.6865023885241,221.90284835774006
34,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,1.4015427664422209,10.076463930315137,10.076463930315137,,355.3408819736384,23.042190020504925,1003.2501323290376,1.3139934208100659,-4.598457233557779,10.20882384935527,67.22802471482355,1143.6771820696315,4.329655655245823,65.33275844522345,50.24316157022345,7.89217736410695,3.910621837542359e-05,2.650656499281876e-05,372.8291654216601,358.9741522831981,1.5113681748856083,403.7257575466646,16.311560893184346,931.0490532635499,141.98893853995708,32226.32069343846,500.53298635320243,229.8178846949879
35,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,2.0473679561543214,18.773205733414056,18.773205733414056,,489.609453605367,28.45056915163532,1106.2710320266883,1.7797542503058315,-3.9526320438456786,19.734456968040405,119.47992541672595,1352.7836082529163,9.76915298897127,147.4125804137778,132.32298353877778,20.785245649325372,5.29678895379405e-05,3.4458848640537124e-05,797.8612436700973,756.604234405,3.4468400234407275,673.8482223647082,36.804474836761834,1413.8340426067243,222.5983249458775,58177.655672182074,453.6554880045509,162.57575633339738
36,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,0.12915073279450517,15.28563256025042,15.28563256025042,,433.8188904046506,26.514682026243506,1064.195952816164,1.316445136841943,-5.870849267205495,15.81393333844479,67.35346474624518,1303.167389660723,6.352845713035151,95.86188081877236,80.77228394377236,12.687680692571204,3.9179184754873197e-05,2.3507819501532112e-05,565.5684047292655,529.0608339672706,2.394174793995506,510.6369996942475,23.93378903676445,1027.6781776904588,158.67797204772407,32288.588030474206,502.6065234301724,216.85711734975035
37,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-1.7927807956520132,44.493412752469126,44.493412752469126,,808.140955374218,37.035714285714285,1725.7954830302644,1.6066446896030548,-7.792780795652013,58.47696235921203,82.20139568763713,1656.7263216490278,14.816460730828455,223.57441954246926,208.48482266746927,32.74871936385461,4.7815915276499376e-05,2.42479784907093e-05,1646.2562718413574,1627.4600444392545,6.815261364018935,1370.3697570907227,55.81962897172122,1305.475229528587,239.07894982765941,39658.97139002121,491.15869448443243,244.5535108247293
38,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-0.7141107642414748,18.40419610351656,18.40419610351656,,485.16917289396304,28.283954490794645,1101.8191944202822,1.4030423601556237,-6.714110764241475,19.312324350901292,71.78415167054652,1359.6058205232923,7.746998338863675,116.8990819247475,101.80948504974751,15.992196514902332,4.1756435045458654e-05,2.487114299949602e-05,680.9552558301128,658.4837346973206,2.937519013724247,598.5322251253748,29.186145669603683,1115.9366348470205,176.12301007586396,34487.942358503686,483.3979662642977,207.14823605037552
39,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-0.0385706403396231,43.778731778216184,43.778731778216184,,803.5431744398575,37.035714285714285,1725.3054160764912,1.2283721830284628,-6.038570640339623,56.84482033108636,62.84729981037791,1946.4018853313387,12.995361160236309,196.0947611529982,181.00516427799818,28.43222471787864,3.655801473206194e-05,1.2891037234136997e-05,1619.8130757939987,1566.2832413037174,7.019333257491054,1418.8170333322812,48.958772188794704,1050.4337069063204,196.79021205127637,30051.767076107833,543.8906938811432,277.1563533374768
40,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-1.7443137442932872,40.915110545179566,40.915110545179566,,785.1205445073219,37.035714285714285,1723.3417900881232,1.0134618277441705,-7.7443137442932874,50.97040017240774,51.82087746482975,2151.9986375174108,11.306111515021291,170.6046649854668,155.5150681104668,24.42824977491794,3.016199238386312e-05,7.967486756406322e-06,1513.8590901716439,1487.0855663679356,6.835833951823406,1388.1377342330538,42.59465845411222,893.5383364235042,167.75407858871606,24578.347237899274,636.2179515995971,301.48373158089095
41,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,2.994155293943625,13.272312236169547,13.272312236169547,,399.4663485861473,25.54473434124293,1040.5730750438372,1.6792356174874177,-3.005844706056375,13.615207693154566,108.87805375274596,1263.6171568045586,7.316121100912204,110.39731810144634,95.30772122644635,14.970901841769392,4.997631930361426e-05,3.445245736852502e-05,564.0732700372057,565.6440052200344,2.4997390365776138,547.2313281017697,27.56285000002924,1237.9750894268752,194.5607713938558,52914.97908776865,449.91051980188774,159.5773072163944
42,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,0.7819065326608694,17.59596485348748,17.59596485348748,,475.44375290734934,27.919023159214394,1092.068461696717,1.6086310276667861,-5.218093467339131,18.393993167044464,111.94754172346953,1393.5764465833793,9.078729635685201,136.99437033960533,121.90477346460531,19.1487570376966,4.787503137925719e-05,3.068710329562581e-05,747.828506273218,754.3100916829013,3.3413467991447994,624.0907777607279,34.2033805624052,1289.2972580865571,204.53734289764594,54438.64613276299,462.4912022011441,165.40361692367776
43,1500.0,svo,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,-0.3191222895932886,17.98974650441456,17.98974650441456,,480.18211453114225,28.096822844910186,1096.8191560425444,1.3816592045098797,-6.319122289593288,18.840364828164404,70.69009534108581,1342.3111933663818,7.353489425514462,110.96119105558857,95.87159418058856,15.059474798283949,4.112004346160839e-05,2.448477316007547e-05,665.6206206633386,626.5924548415142,2.790749738571626,579.7180999204531,27.70362657894036,1089.6502743215965,171.0776843752664,33944.86234305283,485.9746894004903,215.02438924122458
44,1500.0,diesel,5,0.184,DE110,skok_tloczka_vp37_de110.csv,profil_krzywek_4cylindry.md,0.3723095405982564,18.67407197320602,18.67407197320602,,488.41658033692966,28.405808428617036,1105.075054019607,1.6333249644722725,-5.627690459401744,19.620869417885636,115.8012405148362,1421.557850138233,9.76248723232198,147.31199683307318,132.22239995807317,20.7694460174147,4.860995628068396e-05,3.0738452324421004e-05,793.6480588612558,789.497448169873,3.629787376177439,659.920014773724,36.77939020257891,1335.3759073238175,212.15854531388672,56351.58858627447,463.0893650289305,161.8402798205924
